"CAPITULO","GRUPO","CATEGORIA","DESCRIP"
"01",B15-B19,B18,Hepatitis viral crónica (B18)
"01",B15-B19,B19,"Hepatitis viral, sin otra especificación (B19)"
"01",B20-B24,B20,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias (B20)"
"01",B20-B24,B21,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos (B21)"
"01",B20-B24,B22,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas (B22)"
"01",B20-B24,B23,"Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones (B23)"
"01",B20-B24,B24,"Enfermedad por virus de la inmunodeficiencia humana [VIH], sin otra especificación (B24)"
"01",B25-B34,B25,Enfermedad debida a virus citomegálico (B25)
"01",B25-B34,B26,Parotiditis infecciosa (B26)
"01",B25-B34,B27,Mononucleosis infecciosa (B27)
"01",B25-B34,B30,Conjuntivitis viral (B30)
"01",B25-B34,B33,"Otras enfermedades virales, no clasificadas en otra parte (B33)"
"01",B25-B34,B34,Infección viral de sitio no especificado (B34)
"01",B35-B49,B35,Dermatofitosis (B35)
"01",B35-B49,B36,Otras micosis superficiales (B36)
"01",B35-B49,B37,Candidiasis (B37)
"01",B35-B49,B38,Coccidioidomicosis (B38)
"01",B35-B49,B39,Histoplasmosis (B39)
"01",B35-B49,B40,Blastomicosis (B40)
"01",B35-B49,B41,Paracoccidioidomicosis (B41)
"01",B35-B49,B42,Esporotricosis (B42)
"01",B35-B49,B43,Cromomicosis y absceso feomicótico (B43)
"01",B35-B49,B44,Aspergilosis (B44)
"01",B35-B49,B45,Criptococosis (B45)
"01",B35-B49,B46,Cigomicosis (B46)
"01",B35-B49,B47,Micetoma (B47)
"01",B35-B49,B48,"Otras micosis, no clasificadas en otra parte (B48)"
"01",B35-B49,B49,"Micosis, no especificada (B49)"
"01",B50-B64,B50,Paludismo [malaria] debido a Plasmodium falciparum (B50)
"01",B50-B64,B51,Paludismo [malaria] debido a Plasmodium vivax (B51)
"01",B50-B64,B52,Paludismo [malaria] debido a Plasmodium malariae (B52)
"01",B50-B64,B53,Otro paludismo [malaria] confirmado parasitológicamente (B53)
"01",B50-B64,B54,Paludismo [malaria] no especificado (B54)
"01",B50-B64,B55,Leishmaniasis (B55)
"01",B50-B64,B56,Tripanosomiasis africana (B56)
"01",B50-B64,B57,Enfermedad de Chagas (B57)
"01",B50-B64,B58,Toxoplasmosis (B58)
"01",B50-B64,B59,Neumocistosis (B59)
"01",B50-B64,B60,"Otras enfermedades debidas a protozoarios, no clasificadas en otra parte (B60)"
"01",B50-B64,B64,"Enfermedad debida a protozoarios, no especificada (B64)"
"01",B65-B83,B65,Esquistosomiasis [bilharziasis] (B65)
"01",B65-B83,B66,Otras infecciones debidas a trematodos (B66)
"01",B65-B83,B67,Equinococosis (B67)
"01",B65-B83,B68,Teniasis (B68)
"01",B65-B83,B69,Cisticercosis (B69)
"01",B65-B83,B70,Difilobotriasis y esparganosis (B70)
"01",B65-B83,B71,Otras infecciones debidas a cestodos (B71)
"01",B65-B83,B72,Dracontiasis (B72)
"01",B65-B83,B73,Oncocercosis (B73)
"01",B65-B83,B74,Filariasis (B74)
"01",B65-B83,B75,Triquinosis (B75)
"01",B65-B83,B76,Anquilostomiasis y necatoriasis (B76)
"01",B65-B83,B77,Ascariasis (B77)
"01",B65-B83,B78,Estrongiloidiasis (B78)
"01",B65-B83,B79,Tricuriasis (B79)
"01",B65-B83,B80,Enterobiasis (B80)
"01",B65-B83,B81,"Otras helmintiasis intestinales, no clasificadas en otra parte (B81)"
"01",B65-B83,B82,"Parasitosis intestinales, sin otra especificación (B82)"
"01",B65-B83,B83,Otras helmintiasis (B83)
"01",B85-B89,B85,Pediculosis y phthiriasis (B85)
"01",B85-B89,B86,Escabiosis (B86)
"01",B85-B89,B87,Miasis (B87)
"01",B85-B89,B88,Otras infestaciones (B88)
"01",B85-B89,B89,"Enfermedad parasitaria, no especificada (B89)"
"01",B90-B94,B90,Secuelas de tuberculosis (B90)
"01",B90-B94,B91,Secuelas de poliomielitis (B91)
"01",B90-B94,B92,Secuelas de lepra (B92)
"01",B90-B94,B94,Secuelas de otras enfermedades infecciosas y parasitarias y de las no especificadas (B94)
"01",B95-B97,B95,Estreptococos y estafilococos como causa de enfermedades clasificadas en otros capítulos (B95)
"01",B95-B97,B96,Otros agentes bacterianos como causa de enfermedades clasificadas en otros capítulos (B96)
"01",B95-B97,B97,Agentes virales como causa de enfermedades clasificadas en otros capítulos (B97)
"01",B99,B99,Otras enfermedades infecciosas y las no especificadas (B99)
"02",C00-C97,C00,Tumor maligno del labio (C00)
"02",C00-C97,C01,Tumor maligno de la base de la lengua (C01)
"02",C00-C97,C02,Tumor maligno de otras partes y de las no especificadas de la lengua (C02)
"02",C00-C97,C03,Tumor maligno de la encía (C03)
"02",C00-C97,C04,Tumor maligno del piso de la boca (C04)
"02",C00-C97,C05,Tumor maligno del paladar (C05)
"02",C00-C97,C06,Tumor maligno de otras partes y de las no especificadas de la boca (C06)
"02",C00-C97,C07,Tumor maligno de la glándula parótida (C07)
"02",C00-C97,C08,Tumor maligno de otras glándulas salivales mayores y de las no especificadas (C08)
"02",C00-C97,C09,Tumor maligno de la amígdala (C09)
"02",C00-C97,C10,Tumor maligno de la orofaringe (C10)
"02",C00-C97,C11,Tumor maligno de la nasofaringe (C11)
"02",C00-C97,C12,Tumor maligno del seno piriforme (C12)
"02",C00-C97,C13,Tumor maligno de la hipofaringe (C13)
"02",C00-C97,C14,"Tumor maligno de otros sitios y de los mal definidos del labio, de la cavidad bucal y de la faringe (C14)"
"02",C15-C26,C15,Tumor maligno del esófago (C15)
"02",C15-C26,C16,Tumor maligno del estómago (C16)
"02",C15-C26,C17,Tumor maligno del intestino delgado (C17)
"02",C15-C26,C18,Tumor maligno del colon (C18)
"02",C15-C26,C19,Tumor maligno de la unión rectosigmoidea (C19)
"02",C15-C26,C20,Tumor maligno del recto (C20)
"02",C15-C26,C21,Tumor maligno del ano y del conducto anal (C21)
"02",C15-C26,C22,Tumor maligno del hígado y de las vías biliares intrahepáticas (C22)
"02",C15-C26,C23,Tumor maligno de la vesícula biliar (C23)
"02",C15-C26,C24,Tumor maligno de otras partes y de las no especificadas de las vías biliares (C24)
"02",C15-C26,C25,Tumor maligno del páncreas (C25)
"02",C15-C26,C26,Tumor maligno de otros sitios y de los mal definidos de los órganos digestivos (C26)
"02",C30-C39,C30,Tumor maligno de las fosas nasales y del oído medio (C30)
"02",C30-C39,C31,Tumor maligno de los senos paranasales (C31)
"02",C30-C39,C32,Tumor maligno de la laringe (C32)
"02",C30-C39,C33,Tumor maligno de la tráquea (C33)
"02",C30-C39,C34,Tumor maligno de los bronquios y del pulmón (C34)
"02",C30-C39,C37,Tumor maligno del timo (C37)
"02",C30-C39,C38,"Tumor maligno del corazón, del mediastino y de la pleura (C38)"
"02",C30-C39,C39,Tumor maligno de otros sitios y de los mal definidos del sistema respiratorio y de los órganos intratorácicos (C39)
"02",C40-C41,C40,Tumor maligno de los huesos y de los cartílagos articulares de los miembros (C40)
"02",C40-C41,C41,"Tumor maligno de los huesos y de los cartílagos articulares, de otros sitios y de sitios no especificados (C41)"
"02",C43-C44,C43,Melanoma maligno de la piel (C43)
"02",C43-C44,C44,Otros tumores malignos de la piel (C44)
"02",C45-C49,C45,Mesotelioma (C45)
"02",C45-C49,C46,Sarcoma de Kaposi (C46)
"02",C45-C49,C47,Tumor maligno de los nervios periféricos y del sistema nervioso autónomo (C47)
"02",C45-C49,C48,Tumor maligno del peritoneo y del retroperitoneo (C48)
"02",C45-C49,C49,Tumor maligno de otros tejidos conjuntivos y de tejidos blandos (C49)
"02",C50,C50,Tumor maligno de la mama (C50)
"02",C51-C58,C51,Tumor maligno de la vulva (C51)
"02",C51-C58,C52,Tumor maligno de la vagina (C52)
"02",C51-C58,C53,Tumor maligno del cuello del útero (C53)
"02",C51-C58,C54,Tumor maligno del cuerpo del útero (C54)
"02",C51-C58,C55,"Tumor maligno del útero, parte no especificada (C55)"
"02",C51-C58,C56,Tumor maligno del ovario (C56)
"02",C51-C58,C57,Tumor maligno de otros órganos genitales femeninos y de los no especificados (C57)
"02",C51-C58,C58,Tumor maligno de la placenta (C58)
"02",C60-C63,C60,Tumor maligno del pene (C60)
"02",C60-C63,C61,Tumor maligno de la próstata (C61)
"02",C60-C63,C62,Tumor maligno del testículo (C62)
"02",C60-C63,C63,Tumor maligno de otros órganos genitales masculinos y de los no especificados (C63)
"02",C64-C68,C64,"Tumor maligno del riñón, excepto de la pelvis renal (C64)"
"02",C64-C68,C65,Tumor maligno de la pelvis renal (C65)
"02",C64-C68,C66,Tumor maligno del uréter (C66)
"02",C64-C68,C67,Tumor maligno de la vejiga urinaria (C67)
"02",C64-C68,C68,Tumor maligno de otros órganos urinarios y de los no especificados (C68)
"02",C69-C72,C69,Tumor maligno del ojo y sus anexos (C69)
"02",C69-C72,C70,Tumor maligno de las meninges (C70)
"02",C69-C72,C71,Tumor maligno del encéfalo (C71)
"02",C69-C72,C72,"Tumor maligno de la médula espinal, de los nervios craneales y de otras partes del sistema nervioso central (C72)"
"02",C73-C75,C73,Tumor maligno de la glándula tiroides (C73)
"02",C73-C75,C74,Tumor maligno de la glándula suprarrenal (C74)
"02",C73-C75,C75,Tumor maligno de otras glándulas endocrinas y de estructuras afines (C75)
"02",C76-C80,C76,Tumor maligno de otros sitios y de sitios mal definidos (C76)
"02",C76-C80,C77,Tumor maligno secundario y el no especificado de los ganglios linfáticos (C77)
"02",C76-C80,C78,Tumor maligno secundario de los órganos respiratorios y digestivos (C78)
"02",C76-C80,C79,Tumor maligno secundario de otros sitios (C79)
"02",C76-C80,C80,Tumor maligno de sitios no especificados (C80)
"02",C81-C96,C81,Enfermedad de Hodgkin (C81)
"02",C81-C96,C82,Linfoma no (C82)
"02",C81-C96,C83,Linfoma no (C83)
"02",C81-C96,C84,"Linfoma de células T, periférico y cutáneo (C84)"
"02",C81-C96,C85,Linfoma no (C85)
"02",C81-C96,C88,Enfermedades inmunoproliferativas malignas (C88)
"02",C81-C96,C90,Mieloma múltiple y tumores malignos de células plasmáticas (C90)
"02",C81-C96,C91,Leucemia linfoide (C91)
"02",C81-C96,C92,Leucemia mieloide (C92)
"02",C81-C96,C93,Leucemia monocítica (C93)
"02",C81-C96,C94,Otras leucemias de tipo celular especificado (C94)
"02",C81-C96,C95,Leucemia de células de tipo no especificado (C95)
"02",C81-C96,C96,"Otros tumores malignos y los no especificados del tejido linfático, de los órganos hematopoyéticos y de tejidos afines (C96)"
"02",C97,C97,Tumores malignos (primarios) de sitios múltiples independientes (C97)
"02",D00-D09,D00,"Carcinoma in situ de la cavidad bucal, del esófago y del estómago (D00)"
"02",D00-D09,D01,Carcinoma in situ de otros órganos digestivos y de los no especificados (D01)
"02",D00-D09,D02,Carcinoma in situ del sistema respiratorio y del oído medio (D02)
"02",D00-D09,D03,Melanoma in situ (D03)
"02",D00-D09,D04,Carcinoma in situ de la piel (D04)
"02",D00-D09,D05,Carcinoma in situ de la mama (D05)
"02",D00-D09,D06,Carcinoma in situ del cuello del útero (D06)
"02",D00-D09,D07,Carcinoma in situ de otros órganos genitales y de los no especificados (D07)
"02",D00-D09,D09,Carcinoma in situ de otros sitios y de los no especificados (D09)
"02",D10-D36,D10,Tumor benigno de la boca y de la faringe (D10)
"02",D10-D36,D11,Tumor benigno de las glándulas salivales mayores (D11)
"02",D10-D36,D12,"Tumor benigno del colon, del recto, del conducto anal y del ano (D12)"
"02",D10-D36,D13,Tumor benigno de otras partes y de las mal definidas del sistema digestivo (D13)
"02",D10-D36,D14,Tumor benigno del oído medio y del sistema respiratorio (D14)
"02",D10-D36,D15,Tumor benigno de otros órganos intratorácicos y de los no especificados (D15)
"02",D10-D36,D16,Tumor benigno del hueso y del cartílago articular (D16)
"02",D10-D36,D17,Tumores benignos lipomatosos (D17)
"02",D10-D36,D18,Hemangioma y linfangioma de cualquier sitio (D18)
"02",D10-D36,D19,Tumores benignos del tejido mesotelial (D19)
"02",D10-D36,D20,Tumor benigno del tejido blando del peritoneo y del retroperitoneo (D20)
"02",D10-D36,D21,Otros tumores benignos del tejido conjuntivo y de los tejidos blandos (D21)
"02",D10-D36,D22,Nevo melanocítico (D22)
"02",D10-D36,D23,Otros tumores benignos de la piel (D23)
"02",D10-D36,D24,Tumor benigno de la mama (D24)
"02",D10-D36,D25,Leiomioma del útero (D25)
"02",D10-D36,D26,Otros tumores benignos del útero (D26)
"02",D10-D36,D27,Tumor benigno del ovario (D27)
"02",D10-D36,D28,Tumor benigno de otros órganos genitales femeninos y de los no especificados (D28)
"02",D10-D36,D29,Tumor benigno de los órganos genitales masculinos (D29)
"02",D10-D36,D30,Tumor benigno de los órganos urinarios (D30)
"02",D10-D36,D31,Tumor benigno del ojo y sus anexos (D31)
"02",D10-D36,D32,Tumores benignos de las meninges (D32)
"02",D10-D36,D33,Tumor benigno del encéfalo y de otras partes del sistema nervioso central (D33)
"02",D10-D36,D34,Tumor benigno de la glándula tiroides (D34)
"02",D10-D36,D35,Tumor benigno de otras glándulas endocrinas y de las no especificadas (D35)
"02",D10-D36,D36,Tumor benigno de otros sitios y de los no especificados (D36)
"02",D37-D48,D37,Tumor de comportamiento incierto o desconocido de la cavidad bucal y de los órganos digestivos (D37)
"02",D37-D48,D38,Tumor de comportamiento incierto o desconocido del oído medio y de los órganos respiratorios e intratorácicos (D38)
"02",D37-D48,D39,Tumor de comportamiento incierto o desconocido de los órganos genitales femeninos (D39)
"02",D37-D48,D40,Tumor de comportamiento incierto o desconocido de los órganos genitales masculinos (D40)
"02",D37-D48,D41,Tumor de comportamiento incierto o desconocido de los órganos urinarios (D41)
"02",D37-D48,D42,Tumor de comportamiento incierto o desconocido de las meninges (D42)
"02",D37-D48,D43,Tumor de comportamiento incierto o desconocido del encéfalo y del sistema nervioso central (D43)
"02",D37-D48,D44,Tumor de comportamiento incierto o desconocido de las glándulas endocrinas (D44)
"02",D37-D48,D45,Policitemia vera (D45)
"02",D37-D48,D46,Síndromes mielodisplásicos (D46)
"02",D37-D48,D47,"Otros tumores de comportamiento incierto o desconocido del tejido linfático, de los órganos hematopoyéticos y de tejidos afines (D47)"
"02",D37-D48,D48,Tumor de comportamiento incierto o desconocido de otros sitios yde los no especificados (D48)
"03",D50-D53,D50,Anemias por deficiencia de hierro (D50)
"03",D50-D53,D51,Anemia por deficiencia de vitamina B12 (D51)
"03",D50-D53,D52,Anemia por deficiencia de folatos (D52)
"03",D50-D53,D53,Otras anemias nutricionales (D53)
"03",D55-D59,D55,Anemia debida a trastornos enzimáticos (D55)
"03",D55-D59,D56,Talasemia (D56)
"03",D55-D59,D57,Trastornos falciformes (D57)
"03",D55-D59,D58,Otras anemias hemolíticas hereditarias (D58)
"03",D55-D59,D59,Anemia hemolítica adquirida (D59)
"03",D60-D64,D60,"Aplasia adquirida, exclusiva de la serie roja [eritroblastopenia] (D60)"
"03",D60-D64,D61,Otras anemias aplásticas (D61)
"03",D60-D64,D62,Anemia posthemorrágica aguda (D62)
"03",D60-D64,D63,Anemia en enfermedades crónicas clasificadas en otra parte (D63)
"03",D60-D64,D64,Otras anemias (D64)
"03",D65-D69,D65,Coagulación intravascular diseminada [síndrome de desfibrinación] (D65)
"03",D65-D69,D66,Deficiencia hereditaria del factor VIII (D66)
"03",D65-D69,D67,Deficiencia hereditaria del factor IX (D67)
"03",D65-D69,D68,Otros defectos de la coagulación (D68)
"03",D65-D69,D69,Púrpura y otras afecciones hemorrágicas (D69)
"03",D70-D77,D70,Agranulocitosis (D70)
"03",D70-D77,D71,Trastornos funcionales de los polimorfonucleares neutrófilos (D71)
"03",D70-D77,D72,Otros trastornos de los leucocitos (D72)
"03",D70-D77,D73,Enfermedades del bazo (D73)
"03",D70-D77,D74,Metahemoglobinemia (D74)
"03",D70-D77,D75,Otras enfermedades de la sangre y de los órganos hematopoyéticos (D75)
"03",D70-D77,D76,Ciertas enfermedades que afectan al tejido linforreticular y al sistema reticuloendotelial (D76)
"03",D70-D77,D77,Otros trastornos de la sangre y de los órganos hematopoyéticos en enfermedades clasificadas en otra parte (D77)
"03",D80-D89,D80,Inmunodeficiencia con predominio de defectos de los anticuerpos (D80)
"03",D80-D89,D81,Inmunodeficiencias combinadas (D81)
"03",D80-D89,D82,Inmunodeficiencia asociada con otros defectos mayores (D82)
"03",D80-D89,D83,Inmunodeficiencia variable común (D83)
"03",D80-D89,D84,Otras inmunodeficiencias (D84)
"03",D80-D89,D86,Sarcoidosis (D86)
"03",D80-D89,D89,"Otros trastornos que afectan el mecanismo de la inmunidad, no clasificados en otra parte (D89)"
"04",E00-E07,E00,Síndrome congénito de deficiencia de yodo (E00)
"04",E00-E07,E01,Trastornos tiroideos vinculados a deficiencia de yodo y afecciones relacionadas (E01)
"04",E00-E07,E02,Hipotiroidismo subclínico por deficiencia de yodo (E02)
"04",E00-E07,E03,Otros hipotiroidismos (E03)
"04",E00-E07,E04,Otros bocios no tóxicos (E04)
"04",E00-E07,E05,Tirotoxicosis [hipertiroidismo] (E05)
"04",E00-E07,E06,Tiroiditis (E06)
"04",E00-E07,E07,Otros trastornos tiroideos (E07)
"04",E10-E14,E10,Diabetes mellitus insulinodependiente (E10)
"04",E10-E14,E11,Diabetes mellitus no insulinodependiente (E11)
"04",E10-E14,E12,Diabetes mellitus asociada con desnutrición (E12)
"04",E10-E14,E13,Otras diabetes mellitus especificadas (E13)
"04",E10-E14,E14,"Diabetes mellitus, no especificada (E14)"
"04",E15-E16,E15,Coma hipoglicémico no diabético (E15)
"04",E15-E16,E16,Otros trastornos de la secreción interna del páncreas (E16)
"04",E20-E35,E20,Hipoparatiroidismo (E20)
"04",E20-E35,E21,Hiperparatiroidismo y otros trastornos de la glándula paratiroides (E21)
"04",E20-E35,E22,Hiperfunción de la glándula hipófisis (E22)
"04",E20-E35,E23,Hipofunción y otros trastornos de la glándula hipófisis (E23)
"04",E20-E35,E24,Síndrome de Cushing (E24)
"04",E20-E35,E25,Trastornos adrenogenitales (E25)
"04",E20-E35,E26,Hiperaldosteronismo (E26)
"04",E20-E35,E27,Otros trastornos de la glándula suprarrenal (E27)
"04",E20-E35,E28,Disfunción ovárica (E28)
"04",E20-E35,E29,Disfunción testicular (E29)
"04",E20-E35,E30,"Trastornos de la pubertad, no clasificados en otra parte (E30)"
"04",E20-E35,E31,Disfunción poliglandular (E31)
"04",E20-E35,E32,Enfermedades del timo (E32)
"04",E20-E35,E34,Otros trastornos endocrinos (E34)
"04",E20-E35,E35,Trastornos endocrinos en enfermedades clasificadas en otra parte (E35)
"04",E40-E46,E40,Kwashiorkor (E40)
"04",E40-E46,E41,Marasmo nutricional (E41)
"04",E40-E46,E42,Kwashiorkor marasmático (E42)
"04",E40-E46,E43,Desnutrición proteicocalórica severa no especificada (E43)
"04",E40-E46,E44,Desnutrición proteicocalórica de grado moderado y leve (E44)
"04",E40-E46,E45,Retardo del desarrollo debido a desnutrición proteicocalórica (E45)
"04",E40-E46,E46,"Desnutrición proteicocalórica, no especificada (E46)"
"04",E50-E64,E50,Deficiencia de vitamina A (E50)
"04",E50-E64,E51,Deficiencia de tiamina (E51)
"04",E50-E64,E52,Deficiencia de niacina [pelagra] (E52)
"04",E50-E64,E53,Deficiencias de otras vitaminas del grupo B (E53)
"04",E50-E64,E54,Deficiencia de ácido ascórbico (E54)
"04",E50-E64,E55,Deficiencia de vitamina D (E55)
"04",E50-E64,E56,Otras deficiencias de vitaminas (E56)
"04",E50-E64,E58,Deficiencia dietética de calcio (E58)
"04",E50-E64,E59,Deficiencia dietética de selenio (E59)
"04",E50-E64,E60,Deficiencia dietética de zinc (E60)
"04",E50-E64,E61,Deficiencias de otros elementos nutricionales (E61)
"04",E50-E64,E63,Otras deficiencias nutricionales (E63)
"04",E50-E64,E64,Secuelas de la desnutrición y de otras deficiencias nutricionales (E64)
"04",E65-E68,E65,Adiposidad localizada (E65)
"04",E65-E68,E66,Obesidad (E66)
"04",E65-E68,E67,Otros tipos de hiperalimentación (E67)
"04",E65-E68,E68,Secuelas de hiperalimentación (E68)
"04",E70-E90,E70,Trastornos del metabolismo de los aminoácidos aromáticos (E70)
"04",E70-E90,E71,Trastornos del metabolismo de los aminoácidos de cadena ramificada y de los ácidos grasos (E71)
"04",E70-E90,E72,Otros trastornos del metabolismo de los aminoácidos (E72)
"04",E70-E90,E73,Intolerancia a la lactosa (E73)
"04",E70-E90,E74,Otros trastornos del metabolismo de los carbohidratos (E74)
"04",E70-E90,E75,Trastornos del metabolismo de los esfingolípidos y otros trastornos por almacenamiento de lípidos (E75)
"04",E70-E90,E76,Trastornos del metabolismo de los glucosaminoglicanos (E76)
"04",E70-E90,E77,Trastornos del metabolismo de las glucoproteínas (E77)
"04",E70-E90,E78,Trastornos del metabolismo de las lipoproteínas y otras lipidemias (E78)
"04",E70-E90,E79,Trastornos del metabolismo de las purinas y de las pirimidinas (E79)
"04",E70-E90,E80,Trastornos del metabolismo de las porfirinas y de la bilirrubina (E80)
"04",E70-E90,E83,Trastornos del metabolismo de los minerales (E83)
"04",E70-E90,E84,Fibrosis quística (E84)
"04",E70-E90,E85,Amiloidosis (E85)
"04",E70-E90,E86,Depleción de volumen (E86)
"04",E70-E90,E87,"Otros trastornos de los líquidos, de los electrólitos y del equilibrio ácido-básico (E87)"
"04",E70-E90,E88,Otros trastornos metabólicos (E88)
"04",E70-E90,E89,"Trastornos endocrinos y metabólicos consecutivos a procedimientos, no clasificados en otra parte (E89)"
