"CLAVE","DESCRIP"
305441,EPOC DESCOMPENSADO
306385,TUMOR ORGANOS RESPIRATORIOS
307179,CUERPO EXTRAÑO VIAS AEREAS
307180,CUERPO EXTRAÑO OIDO
307181,CUERPO EXTRAÑO NARIZ
307182,CUERPO EXTRAÑO ESOFAGO
308098,OTROS TRASTORNOS RESPIRATORIOS
400064,ENFERMEDAD VASCULAR CEREBRAL
401056,CRISIS CONVULSIVAS
402051,CEFALEA
403729,TUMOR MALIGNO DE SINC
404069,SECUELAS DE EVC
405079,RETRASO MENTAL NO ESPECIFICADO
406934,ENCEFALOPATIA NO ESPECIFICADA
407003,DEMENCIA
408059,DELIRIO
409000,NEUROINFECCION MENINGITIS
409410,ESTADO CONFUSIONAL NO ESPECIFICADO (DESORIENTACIÓN)
410009,TRASTORNO MENTAL NO ESPECIFICADO
411199,TRASTORNO MENTAL POR USO DE DROGAS
412041,TRASTORNO DE ANSIEDAD
413099,OTRO DIAGNOSTICO NEUROLÓGICO NO ESPECIFICADO
500009,GASTROENTERITIS
510746,CIRROSIS
520922,HEMORRAGIA TUBO DIGESTIVO
530379,TUMOR DE ORGANOS DIGESTIVOS NO ESPECIFICADOS
540099,OTROS DIAGNOSTICOS GASTROENTEROLOGICOS NO ESPECIFICADO
600019,INSUFICIENCIA RENAL
601020,LITIASIS RENOURETERAL
602033,RETENCION AGUDA DE ORINA
603390,TRASTORNO NO ESPECIFICADO DEL SISTEMA URINARIO
604399,TRASTORNO NO ESPECIFICADO DELSISTEMA URINARIO
605041,TUMOR DE ORGANOS URINARIOS
700041,SEPSIS
701088,COMPLICACIÓN INFECCIOSA DE PROCEDIMIENTOS
702024,VIH
703099,OTRA ENFERMEDAD INFECCIOS NO ESPECIFICADA
800100,TRABAJO DE PARTO
801623,TRABAJO DE PARTO PREMATURO
802369,TRABAJO DE PARTO CON PROBLEMA FETAL
803100,PARTO FORTUITO
804149,PRECLAMSIA
805015,ECLAMPSIA
805042,RUPTURA PREMATURA DE MEMBRANAS
806044,PLACENTA PREVIA
807045,DESPRENDIMIENTO DE PLACENTA
808006,ABORTO
809469,HEMORRAGIA ANTEPARTO
810072,HEMORRAGIA POSPARTO
811939,HEMORRAGIA VAGINAL NO ASOCIADA A EMBARAZO
812100,PRODUCTO OBITADO
812101,RN DE PARTOFORTUITO A REVISIÓN
813085,SEPSIS PEURPERAL
814908,OTRAS COMPLICACIONES PUERPERALES
900073,RECIEN NACIDO PREMATURO
901285,INSUFICIENCIA RESPIRATORIA DEL RECIEN NACIDO
902899,MALFORMACIONES CONGENITAS
903080,HIPOTERMIA DEL RECIEN NACIDO
903099,OTRAS COMPLICACIONES DEL RECIEN NACIDO
990055,SINCOPE
991509,FIEBRE
993050,URTICARIA
994784,ALERGIA
995782,CHOQUE ANALFRACTICO
996609,EDEMA
997460,EDO. POSTRAROCARDIORESPIRATORIO
998046,PAROCARDIORESPIRATORIO
999489,TUMOR NO ESPECIFICADO
9910579,ESTADO DE CHOQUE
9911571,CHOQUEHIPOVOLEMICO
9912740,SÍNDROME DE ABANDONO
9913100,ABDOMEN AGUDO
9914819,COMPLICACIONES DE PROCEDIMIENTO MEDICO
9915649,ANEMIA
9915889,COMPLICACIONES DE ATENCION MEDICO QUIRÚRGICA
9999969,ENFERMEDAD DESCONOCIDA Y/O NO ESPECIFICADA
