"CAPITULO","GRUPO","CATEGORIA","SUBCATEGORIA","DESCRIP"
"01",A15-A19,A16,A167,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica (A167)"
"01",A15-A19,A16,A168,"Otras tuberculosis respiratorias, sin mención de confirmación (A168)"
"01",A15-A19,A16,A169,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica (A169)"
"01",A15-A19,A17,A170,Meningitis tuberculosa (A170)
"01",A15-A19,A17,A171,Tuberculoma meníngeo (A171)
"01",A15-A19,A17,A178,Otras tuberculosis del sistema nervioso (A178)
"01",A15-A19,A17,A179,"Tuberculosis del sistema nervioso, no especificada (A179)"
"01",A15-A19,A18,A180,Tuberculosis de huesos y articulaciones (A180)
"01",A15-A19,A18,A181,Tuberculosis del aparato genitourinario (A181)
"01",A15-A19,A18,A182,Linfadenopatía periférica tuberculosa (A182)
"01",A15-A19,A18,A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos (A183)"
"01",A15-A19,A18,A184,Tuberculosis de la piel y el tejido subcutáneo (A184)
"01",A15-A19,A18,A185,Tuberculosis del ojo (A185)
"01",A15-A19,A18,A186,Tuberculosis del oído (A186)
"01",A15-A19,A18,A187,Tuberculosis de glándulas suprarrenales (A187)
"01",A15-A19,A18,A188,Tuberculosis de otros órganos especificados (A188)
"01",A15-A19,A19,A190,Tuberculosis miliar aguda de un solo sitio especificado (A190)
"01",A15-A19,A19,A191,Tuberculosis miliar aguda de sitios múltiples (A191)
"01",A15-A19,A19,A192,"Tuberculosis miliar aguda, no especificada (A192)"
"01",A15-A19,A19,A198,Otras tuberculosis miliares (A198)
"01",A15-A19,A19,A199,"Tuberculosis miliar, sin otra especificación (A199)"
"01",A20-A28,A20,A200,Peste bubónica (A200)
"01",A20-A28,A20,A201,Peste celulocutánea (A201)
"01",A20-A28,A20,A202,Peste neumónica (A202)
"01",A20-A28,A20,A203,Meningitis por peste (A203)
"01",A20-A28,A20,A207,Peste septicémica (A207)
"01",A20-A28,A20,A208,Otras formas de peste (A208)
"01",A20-A28,A20,A209,"Peste, no especificada (A209)"
"01",A20-A28,A21,A210,Tularemia ulceroglandular (A210)
"01",A20-A28,A21,A211,Tularemia oculoglandular (A211)
"01",A20-A28,A21,A212,Tularemia pulmonar (A212)
"01",A20-A28,A21,A213,Tularemia gastrointestinal (A213)
"01",A20-A28,A21,A217,Tularemia generalizada (A217)
"01",A20-A28,A21,A218,Otras formas de tularemia (A218)
"01",A20-A28,A21,A219,"Tularemia, no especificada (A219)"
"01",A20-A28,A22,A220,Carbunco cutáneo (A220)
"01",A20-A28,A22,A221,Carbunco pulmonar (A221)
"01",A20-A28,A22,A222,Carbunco gastrointestinal (A222)
"01",A20-A28,A22,A227,Carbunco septicémico (A227)
"01",A20-A28,A22,A228,Otras formas de carbunco (A228)
"01",A20-A28,A22,A229,"Carbunco, no especificado (A229)"
"01",A20-A28,A23,A230,Brucelosis debida a Brucella melitensis (A230)
"01",A20-A28,A23,A231,Brucelosis debida a Brucella abortus (A231)
"01",A20-A28,A23,A232,Brucelosis debida a Brucella suis (A232)
"01",A20-A28,A23,A233,Brucelosis debida a Brucella canis (A233)
"01",A20-A28,A23,A238,Otras brucelosis (A238)
"01",A20-A28,A23,A239,"Brucelosis, no especificada (A239)"
"01",A20-A28,A24,A240,Muermo (A240)
"01",A20-A28,A24,A241,Melioidosis aguda y fulminante (A241)
"01",A20-A28,A24,A242,Melioidosis subaguda y crónica (A242)
"01",A20-A28,A24,A243,Otras melioidosis (A243)
"01",A20-A28,A24,A244,"Melioidosis, no especificada (A244)"
"01",A20-A28,A25,A250,Espirilosis (A250)
"01",A20-A28,A25,A251,Estreptobacilosis (A251)
"01",A20-A28,A25,A259,"Fiebre por mordedura de rata, no especificada (A259)"
"01",A20-A28,A26,A260,Erisipeloide cutáneo (A260)
"01",A20-A28,A26,A267,Septicemia por Erysipelothrix (A267)
"01",A20-A28,A26,A268,Otras formas de erisipeloide (A268)
"01",A20-A28,A26,A269,"Erisipeloide, no especificada (A269)"
"01",A20-A28,A27,A270,Leptospirosis icterohemorrágica (A270)
"01",A20-A28,A27,A278,Otras formas de leptospirosis (A278)
"01",A20-A28,A27,A279,"Leptospirosis, no especificada (A279)"
"01",A20-A28,A28,A280,Pasteurelosis (A280)
"01",A20-A28,A28,A281,Enfermedad por rasguño de gato (A281)
"01",A20-A28,A28,A282,Yersiniosis extraintestinal (A282)
"01",A20-A28,A28,A288,"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte (A288)"
"01",A20-A28,A28,A289,"Enfermedad zoonótica bacteriana, sin otra especificación (A289)"
"01",A30-A49,A30,A300,Lepra indeterminada (A300)
"01",A30-A49,A30,A301,Lepra tuberculoide (A301)
"01",A30-A49,A30,A302,Lepra tuberculoide limítrofe (A302)
"01",A30-A49,A30,A303,Lepra limítrofe (A303)
"01",A30-A49,A30,A304,Lepra lepromatosa limítrofe (A304)
"01",A30-A49,A30,A305,Lepra lepromatosa (A305)
"01",A30-A49,A30,A308,Otras formas de lepra (A308)
"01",A30-A49,A30,A309,"Lepra, no especificada (A309)"
"01",A30-A49,A31,A310,Infecciones por micobacterias pulmonares (A310)
"01",A30-A49,A31,A311,Infección cutánea por micobacterias (A311)
"01",A30-A49,A31,A318,Otras infecciones por micobacterias (A318)
"01",A30-A49,A31,A319,"Infección por micobacteria, no especificada (A319)"
"01",A30-A49,A32,A320,Listeriosis cutánea (A320)
"01",A30-A49,A32,A321,Meningitis y meningoencefalitis listeriana (A321)
"01",A30-A49,A32,A327,Septicemia listeriana (A327)
"01",A30-A49,A32,A328,Otras formas de listeriosis (A328)
"01",A30-A49,A32,A329,"Listeriosis, no especificada (A329)"
"01",A30-A49,A33,A33X,Tétanos neonatal (A33X)
"01",A30-A49,A34,A34X,Tétanos obstétrico (A34X)
"01",A30-A49,A35,A35X,Otros tétanos (A35X)
"01",A30-A49,A36,A360,Difteria faríngea (A360)
"01",A30-A49,A36,A361,Difteria nasofaríngea (A361)
"01",A30-A49,A36,A362,Difteria laríngea (A362)
"01",A30-A49,A36,A363,Difteria cutánea (A363)
"01",A30-A49,A36,A368,Otras difterias (A368)
"01",A30-A49,A36,A369,"Difteria, no especificada (A369)"
"01",A30-A49,A37,A370,Tos ferina debida a Bordetella pertussis (A370)
"01",A30-A49,A37,A371,Tos ferina debida a Bordetella parapertussis (A371)
"01",A30-A49,A37,A378,Tos ferina debida a otras especies de Bordetella (A378)
"01",A30-A49,A37,A379,"Tos ferina, no especificada (A379)"
"01",A30-A49,A38,A38X,Escarlatina (A38X)
"01",A30-A49,A39,A390,Meningitis meningocócica (A390)
"01",A30-A49,A39,A391,Síndrome de Waterhouse-Friderichsen (A391)
"01",A30-A49,A39,A392,Meningococemia aguda (A392)
"01",A30-A49,A39,A393,Meningococemia crónica (A393)
"01",A30-A49,A39,A394,"Meningococemia, no especificada (A394)"
"01",A30-A49,A39,A395,Enfermedad cardíaca debida a meningococo (A395)
"01",A30-A49,A39,A398,Otras formas de enfermedad meningocócica (A398)
"01",A30-A49,A39,A399,"Enfermedad meningocócica, no especificada (A399)"
"01",A30-A49,A40,A400,"Septicemia debida a estreptococo, grupo A (A400)"
"01",A30-A49,A40,A401,"Septicemia debida a estreptococo, grupo B (A401)"
"01",A30-A49,A40,A402,"Septicemia debida a estreptococo, grupo D (A402)"
"01",A30-A49,A40,A403,Septicemia debida a Streptococcus pneumoniae (A403)
"01",A30-A49,A40,A408,Otras septicemias estreptocócicas (A408)
"01",A30-A49,A40,A409,"Septicemia estreptocócica, no especificada (A409)"
"01",A30-A49,A41,A410,Septicemia debida a Staphylococcus aureus (A410)
"01",A30-A49,A41,A411,Septicemia debida a otro estafilococo especificado (A411)
"01",A30-A49,A41,A412,Septicemia debida a estafilococo no especificado (A412)
"01",A30-A49,A41,A413,Septicemia debida a Haemophilus influenzae (A413)
"01",A30-A49,A41,A414,Septicemia debida a anaerobios (A414)
"01",A30-A49,A41,A415,Septicemia debida a otros organismos gramnegativos (A415)
"01",A30-A49,A41,A418,Otras septicemias especificadas (A418)
"01",A30-A49,A41,A419,"Septicemia, no especificada (A419)"
"01",A30-A49,A42,A420,Actinomicosis pulmonar (A420)
"01",A30-A49,A42,A421,Actinomicosis abdominal (A421)
"01",A30-A49,A42,A422,Actinomicosis cervicofacial (A422)
"01",A30-A49,A42,A427,Septicemia actinomicótica (A427)
"01",A30-A49,A42,A428,Otras formas de actinomicosis (A428)
"01",A30-A49,A42,A429,"Actinomicosis, sin otra especificación (A429)"
"01",A30-A49,A43,A430,Nocardiosis pulmonar (A430)
"01",A30-A49,A43,A431,Nocardiosis cutánea (A431)
"01",A30-A49,A43,A438,Otras formas de nocardiosis (A438)
"01",A30-A49,A43,A439,"Nocardiosis, no especificada (A439)"
"01",A30-A49,A44,A440,Bartonelosis sistémica (A440)
"01",A30-A49,A44,A441,Bartonelosis cutánea y mucocutánea (A441)
"01",A30-A49,A44,A448,Otras formas de bartonelosis (A448)
"01",A30-A49,A44,A449,"Bartonelosis, no especificada (A449)"
"01",A30-A49,A46,A46X,Erisipela (A46X)
"01",A30-A49,A48,A480,Gangrena gaseosa (A480)
"01",A30-A49,A48,A481,Enfermedad de los legionarios (A481)
"01",A30-A49,A48,A482,Enfermedad de los legionarios no neumónica (fiebre de Pontiac) (A482)
"01",A30-A49,A48,A483,Síndrome del choque tóxico (A483)
"01",A30-A49,A48,A484,Fiebre purpúrica brasileña (A484)
"01",A30-A49,A48,A488,Otras enfermedades bacterianas especificadas (A488)
"01",A30-A49,A49,A490,"Infección estafilocócica, sin otra especificación (A490)"
"01",A30-A49,A49,A491,"Infección estreptocócica, sin otra especificación (A491)"
"01",A30-A49,A49,A492,"Infección por Haemophilus influenzae, sin otra especificación (A492)"
"01",A30-A49,A49,A493,"Infección por micoplasma, sin otra especificación (A493)"
"01",A30-A49,A49,A498,Otras infecciones bacterianas de sitio no especificado (A498)
"01",A30-A49,A49,A499,"Infección bacteriana, no especificada (A499)"
"01",A50-A64,A50,A500,"Sífilis congénita precoz, sintomática (A500)"
"01",A50-A64,A50,A501,"Sífilis congénita precoz, latente (A501)"
"01",A50-A64,A50,A502,"Sífilis congénita precoz, sin otra especificación (A502)"
"01",A50-A64,A50,A503,Oculopatía sifilítica congénita tardía (A503)
"01",A50-A64,A50,A504,Neurosífilis congénita tardía [neurosífilis juvenil] (A504)
"01",A50-A64,A50,A505,"Otras formas de sífilis congénita tardía, sintomática (A505)"
"01",A50-A64,A50,A506,"Sífilis congénita tardía, latente (A506)"
"01",A50-A64,A50,A507,"Sífilis congénita tardía, sin otra especificación (A507)"
"01",A50-A64,A50,A509,"Sífilis congénita, sin otra especificación (A509)"
"01",A50-A64,A51,A510,Sífilis genital primaria (A510)
"01",A50-A64,A51,A511,Sífilis primaria anal (A511)
"01",A50-A64,A51,A512,Sífilis primaria en otros sitios (A512)
"01",A50-A64,A51,A513,Sífilis secundaria de piel y membranas mucosas (A513)
"01",A50-A64,A51,A514,Otras sífilis secundarias (A514)
"01",A50-A64,A51,A515,"Sífilis precoz, latente (A515)"
"01",A50-A64,A51,A519,"Sífilis precoz, sin otra especificación (A519)"
"01",A50-A64,A52,A520,Sífilis cardiovascular (A520)
"01",A50-A64,A52,A521,Neurosífilis sintomática (A521)
"01",A50-A64,A52,A522,Neurosífilis asintomática (A522)
"01",A50-A64,A52,A523,Neurosífilis no especificada (A523)
"01",A50-A64,A52,A527,Otras sífilis tardías sintomáticas (A527)
"01",A50-A64,A52,A528,"Sífilis tardía, latente (A528)"
"01",A50-A64,A52,A529,"Sífilis tardía, no especificada (A529)"
"01",A50-A64,A53,A530,"Sífilis latente, no especificada como precoz o tardía (A530)"
"01",A50-A64,A53,A539,"Sífilis, no especificada (A539)"
"01",A50-A64,A54,A540,Infección gonocócica del tracto genitourinario inferior sin absceso periuretral y de glándula accesoria (A540)
"01",A50-A64,A54,A541,Infección gonocócica del tracto genitourinario inferior con absceso periuretral y de glándulas accesorias (A541)
"01",A50-A64,A54,A542,Pelviperitonitis gonocócica y otras infecciones gonocócicas genitourinarias (A542)
"01",A50-A64,A54,A543,Infección gonocócica del ojo (A543)
"01",A50-A64,A54,A544,Infección gonocócica del sistema osteomuscular (A544)
"01",A50-A64,A54,A545,Faringitis gonocócica (A545)
"01",A50-A64,A54,A546,Infección gonocócica del ano y del recto (A546)
"01",A50-A64,A54,A548,Otras infecciones gonocócicas (A548)
"01",A50-A64,A54,A549,"Infección gonocócica, no especificada (A549)"
"01",A50-A64,A55,A55X,Linfogranuloma (venéreo) por clamidias (A55X)
"01",A50-A64,A56,A560,Infección del tracto genitourinario inferior debida a clamidias (A560)
"01",A50-A64,A56,A561,Infección del pelviperitoneo y otros órganos genitourinarios debida a clamidias (A561)
"01",A50-A64,A56,A562,"Infecciones del tracto genitourinario debidas a clamidias, sin otra especificación (A562)"
"01",A50-A64,A56,A563,Infección del ano y del recto debida a clamidias (A563)
"01",A50-A64,A56,A564,Infección de faringe debida a clamidias (A564)
"01",A50-A64,A56,A568,Infección de transmisión sexual de otros sitios debida a clamidias (A568)
"01",A50-A64,A57,A57X,Chancro blando (A57X)
"01",A50-A64,A58,A58X,Granuloma inguinal (A58X)
"01",A50-A64,A59,A590,Tricomoniasis urogenital (A590)
"01",A50-A64,A59,A598,Tricomoniasis de otros sitos (A598)
"01",A50-A64,A59,A599,"Tricomoniasis, no especificada (A599)"
"01",A50-A64,A60,A600,Infección de genitales y trayecto urogenital debida a virus del herpes [herpes simple] (A600)
"01",A50-A64,A60,A601,Infección de la piel perianal y recto por virus del herpes simple (A601)
"01",A50-A64,A60,A609,"Infección anogenital por virus del herpes simple, sin otra especificación (A609)"
"01",A50-A64,A63,A630,Verrugas (venéreas) anogenitales (A630)
"01",A50-A64,A63,A638,"Otras enfermedades de transmisión predominantemente sexual, especificadas (A638)"
"01",A50-A64,A64,A64X,Enfermedad de transmisión sexual no especificada (A64X)
"01",A65-A69,A65,A65X,Sífilis no venérea (A65X)
"01",A65-A69,A66,A660,Lesiones iniciales de frambesia (A660)
"01",A65-A69,A66,A661,Lesiones papilomatosas múltiples y frambesia con paso de cangrejo (A661)
"01",A65-A69,A66,A662,Otras lesiones precoces de la piel en la frambesia (A662)
"01",A65-A69,A66,A663,Hiperqueratosis de frambesia (A663)
"01",A65-A69,A66,A664,Goma y úlceras de frambesia (A664)
"01",A65-A69,A66,A665,Gangosa (A665)
"01",A65-A69,A66,A666,Lesiones frambésicas de los huesos y de las articulaciones (A666)
"01",A65-A69,A66,A667,Otras manifestaciones de frambesia (A667)
"01",A65-A69,A66,A668,Frambesia latente (A668)
"01",A65-A69,A66,A669,"Frambesia, no especificada (A669)"
"01",A65-A69,A67,A670,Lesiones primarias de la pinta (A670)
"01",A65-A69,A67,A671,Lesiones intermedias de la pinta (A671)
"01",A65-A69,A67,A672,Lesiones tardías de la pinta (A672)
"01",A65-A69,A67,A673,Lesiones mixtas de la pinta (A673)
"01",A65-A69,A67,A679,"Pinta, no especificada (A679)"
"01",A65-A69,A68,A680,Fiebre recurrente transmitida por piojos (A680)
"01",A65-A69,A68,A681,Fiebre recurrente transmitida por garrapatas (A681)
"01",A65-A69,A68,A689,"Fiebre recurrente, no especificada (A689)"
"01",A65-A69,A69,A690,Estomatitis ulcerativa necrotizante (A690)
"01",A65-A69,A69,A691,Otras infecciones de Vincent (A691)
"01",A65-A69,A69,A692,Enfermedad de Lyme (A692)
"01",A65-A69,A69,A698,Otras infecciones especificadas por espiroquetas (A698)
"01",A65-A69,A69,A699,"Infección por espiroqueta, no especificada (A699)"
"01",A70-A74,A70,A70X,Infeccion debida a Chlamydia psittaci (A70X)
"01",A70-A74,A71,A710,Estado inicial de tracoma (A710)
"01",A70-A74,A71,A711,Estado activo de tracoma (A711)
"01",A70-A74,A71,A719,"Tracoma, no especificado (A719)"
"01",A70-A74,A74,A740,Conjuntivitis por clamidias (A740)
"01",A70-A74,A74,A748,Otras enfermedades por clamidias (A748)
"01",A70-A74,A74,A749,"Infección por clamidias, no especificada (A749)"
"01",A75-A79,A75,A750,Tifus epidémico debido a Rickettsia prowazekii transmitido por piojos (A750)
"01",A75-A79,A75,A751,Tifus recrudescente [enfermedad de Brill] (A751)
"01",A75-A79,A75,A752,Tifus debido a Rickettsia typhi (A752)
"01",A75-A79,A75,A753,Tifus debido a Rickettsia tsutsugamushi (A753)
"01",A75-A79,A75,A759,"Tifus, no especificado (A759)"
"01",A75-A79,A77,A770,Fiebre maculosa debida a Rickettsia rickettsii (A770)
"01",A75-A79,A77,A771,Fiebre maculosa debida a Rickettsia conorii (A771)
"01",A75-A79,A77,A772,Fiebre maculosa debida a Rickettsia siberica (A772)
"01",A75-A79,A77,A773,Fiebre maculosa debida a Rickettsia australis (A773)
"01",A75-A79,A77,A778,Otras fiebres maculosas (A778)
"01",A75-A79,A77,A779,"Fiebre maculosa, no especificada (A779)"
"01",A75-A79,A78,A78X,Fiebre Q (A78X)
"01",A75-A79,A79,A790,Fiebre de las trincheras (A790)
"01",A75-A79,A79,A791,Rickettsiosis pustulosa debida a Rickettsia akari (A791)
"01",A75-A79,A79,A798,Otras rickettsiosis especificadas (A798)
"01",A75-A79,A79,A799,"Rickettsiosis, no especificada (A799)"
"01",A80-A89,A80,A800,"Poliomielitis aguda paralítica, asociada a vacuna (A800)"
"01",A80-A89,A80,A801,Poliomielitis aguda paralítica debida a virus salvaje importado (A801)
"01",A80-A89,A80,A802,Poliomielitis aguda paralítica debida a virus salvaje autóctono (A802)
"01",A80-A89,A80,A803,Otras poliomielitis agudas paralíticas y las no especificadas (A803)
"01",A80-A89,A80,A804,Poliomielitis aguda no paralítica (A804)
"01",A80-A89,A80,A809,"Poliomielitis aguda, sin otra especificación (A809)"
"01",A80-A89,A81,A810,Enfermedad de Creutzfeldt-Jakob (A810)
"01",A80-A89,A81,A811,Panencefalitis esclerosante subaguda (A811)
"01",A80-A89,A81,A812,Leucoencefalopatía multifocal progresiva (A812)
"01",A80-A89,A81,A818,Otras infecciones del sistema nervioso central por virus atípico (A818)
"01",A80-A89,A81,A819,"Infecciones del sistema nervioso central por virus atípico, sin otra especificación (A819)"
"01",A80-A89,A82,A820,Rabia selvática (A820)
"01",A80-A89,A82,A821,Rabia urbana (A821)
"01",A80-A89,A82,A829,"Rabia, sin otra especificación (A829)"
"01",A80-A89,A83,A830,Encefalitis japonesa (A830)
"01",A80-A89,A83,A831,Encefalitis equina del oeste (A831)
"01",A80-A89,A83,A832,Encefalitis equina del este (A832)
"01",A80-A89,A83,A833,Encefalitis de San Luis (A833)
"01",A80-A89,A83,A834,Encefalitis australiana (A834)
"01",A80-A89,A83,A835,Encefalitis de California (A835)
"01",A80-A89,A83,A836,Enfermedad por virus Rocío (A836)
"01",A80-A89,A83,A838,Otras encefalitis virales transmitidas por mosquitos (A838)
"01",A80-A89,A83,A839,"Encefalitis viral transmitida por mosquitos, sin otra especificación (A839)"
"01",A80-A89,A84,A840,Encefalitis del Lejano Oriente transmitida por garrapatas [encefalitis primaveroestival rusa] (A840)
"01",A80-A89,A84,A841,Encefalitis centroeuropea transmitida por garrapatas (A841)
"01",A80-A89,A84,A848,Otras encefalitis virales transmitida por garrapatas (A848)
"01",A80-A89,A84,A849,"Encefalitis viral transmitida por garrapatas, sin otra especificación (A849)"
"01",A80-A89,A85,A850,Encefalitis enteroviral (A850)
"01",A80-A89,A85,A851,Encefalitis por adenovirus (A851)
"01",A80-A89,A85,A852,"Encefalitis viral transmitida por artrópodos, sin otra especifcación (A852)"
"01",A80-A89,A85,A858,Otras encefalitis virales especifcadas (A858)
"01",A80-A89,A86,A86X,"Encefalitis viral, no especificada (A86X)"
"01",A80-A89,A87,A870,Meningitis enteroviral (A870)
"01",A80-A89,A87,A871,Meningitis debida a adenovirus (A871)
"01",A80-A89,A87,A872,Coriomeningitis linfocítica (A872)
"01",A80-A89,A87,A878,Otras meningitis virales (A878)
"01",A80-A89,A87,A879,"Meningitis viral, sin otra especificación (A879)"
"01",A80-A89,A88,A880,Fiebre exantemática enteroviral [exantema de Boston] (A880)
"01",A80-A89,A88,A881,Vértigo epidémico (A881)
"01",A80-A89,A88,A888,Otras infecciones virales especificadas del sistema nervioso central (A888)
"01",A80-A89,A89,A89X,"Infección viral del sistema nervioso central, no especificada (A89X)"
"01",A90-A99,A90,A90X,Fiebre del dengue [dengue clásico] (A90X)
"01",A90-A99,A91,A91X,Fiebre del dengue hemorrágico (A91X)
"01",A90-A99,A92,A920,Enfermedad por virus Chikungunya (A920)
"01",A90-A99,A92,A921,Fiebre de O'nyong-nyong (A921)
"01",A90-A99,A92,A922,Fiebre equina venezolana (A922)
"01",A90-A99,A92,A923,Fiebre del oeste del Nilo (A923)
"01",A90-A99,A92,A924,Fiebre del valle del Rift (A924)
"01",A90-A99,A92,A928,Otras fiebres virales especificadas transmitidas por mosquitos (A928)
"01",A90-A99,A92,A929,"Fiebre viral transmitida por mosquito, sin otra especificación (A929)"
"01",A90-A99,A93,A930,Enfermedad por virus de Oropouche (A930)
"01",A90-A99,A93,A931,Fiebre transmitida por flebótomos (A931)
"01",A90-A99,A93,A932,Fiebre de Colorado transmitida por garrapatas (A932)
"01",A90-A99,A93,A938,Otras fiebres virales especificadas transmitidas por artrópodos (A938)
"01",A90-A99,A94,A94X,"Fiebre viral transmitida por artrópodos, no especificada (A94X)"
"01",A90-A99,A95,A950,Fiebre amarilla selvática (A950)
"01",A90-A99,A95,A951,Fiebre amarilla urbana (A951)
"01",A90-A99,A95,A959,"Fiebre amarilla, no especificada (A959)"
"01",A90-A99,A96,A960,Fiebre hemorrágica de Junín (A960)
"01",A90-A99,A96,A961,Fiebre hemorrágica de Machupo (A961)
"01",A90-A99,A96,A962,Fiebre de Lassa (A962)
"01",A90-A99,A96,A968,Otras fiebres hemorrágicas por arenavirus (A968)
"01",A90-A99,A96,A969,"Fiebre hemorrágica por arenavirus, sin otra especificación (A969)"
"01",A90-A99,A98,A980,Fiebre hemorrágica de Crimea-Congo (A980)
"01",A90-A99,A98,A981,Fiebre hemorrágica de Omsk (A981)
